year,month,day,flow_cfs,Source
2015,12,10,483.000,observed_flow_12sites_cfs.csv
2015,12,11,449.000,observed_flow_12sites_cfs.csv
2015,12,12,418.000,observed_flow_12sites_cfs.csv
2015,12,13,384.000,observed_flow_12sites_cfs.csv
2015,12,14,2310.000,observed_flow_12sites_cfs.csv
2015,12,15,1050.000,observed_flow_12sites_cfs.csv
2015,12,16,757.000,observed_flow_12sites_cfs.csv
2015,12,17,621.000,observed_flow_12sites_cfs.csv
2015,12,18,554.000,observed_flow_12sites_cfs.csv
2015,12,19,504.000,observed_flow_12sites_cfs.csv
2015,12,20,474.000,observed_flow_12sites_cfs.csv
2015,12,21,470.000,observed_flow_12sites_cfs.csv
2015,12,22,462.000,observed_flow_12sites_cfs.csv
2015,12,23,441.000,observed_flow_12sites_cfs.csv
2015,12,24,418.000,observed_flow_12sites_cfs.csv
2015,12,25,384.000,observed_flow_12sites_cfs.csv
2015,12,26,363.000,observed_flow_12sites_cfs.csv
2015,12,27,360.000,observed_flow_12sites_cfs.csv
2015,12,28,474.000,observed_flow_12sites_cfs.csv
2015,12,29,1390.000,observed_flow_12sites_cfs.csv
2015,12,30,739.000,observed_flow_12sites_cfs.csv
2015,12,31,573.000,observed_flow_12sites_cfs.csv
2016,1,1,470.000,observed_flow_12sites_cfs.csv
2016,1,2,458.000,observed_flow_12sites_cfs.csv
2016,1,3,429.000,observed_flow_12sites_cfs.csv
2016,1,4,418.000,observed_flow_12sites_cfs.csv
2016,1,5,399.000,observed_flow_12sites_cfs.csv
2016,1,6,380.000,observed_flow_12sites_cfs.csv
2016,1,7,377.000,observed_flow_12sites_cfs.csv
2016,1,8,559.000,observed_flow_12sites_cfs.csv
2016,1,9,449.000,observed_flow_12sites_cfs.csv
2016,1,10,388.000,observed_flow_12sites_cfs.csv
2016,1,11,358.000,observed_flow_12sites_cfs.csv
2016,1,12,344.000,observed_flow_12sites_cfs.csv
2016,1,13,335.000,observed_flow_12sites_cfs.csv
2016,1,14,327.000,observed_flow_12sites_cfs.csv
2016,1,15,325.000,observed_flow_12sites_cfs.csv
2016,1,16,319.000,observed_flow_12sites_cfs.csv
2016,1,17,309.000,observed_flow_12sites_cfs.csv
2016,1,18,294.000,observed_flow_12sites_cfs.csv
2016,1,19,286.000,observed_flow_12sites_cfs.csv
2016,1,20,284.000,observed_flow_12sites_cfs.csv
2016,1,21,281.000,observed_flow_12sites_cfs.csv
2016,1,22,279.000,observed_flow_12sites_cfs.csv
2016,1,23,267.000,observed_flow_12sites_cfs.csv
2016,1,24,256.000,observed_flow_12sites_cfs.csv
2016,1,25,232.000,observed_flow_12sites_cfs.csv
2016,1,26,253.000,observed_flow_12sites_cfs.csv
2016,1,27,242.000,observed_flow_12sites_cfs.csv
2016,1,28,229.000,observed_flow_12sites_cfs.csv
