name,type,zone,value
uztwm,sac,DNGT2-1,40
uzfwm,sac,DNGT2-1,55
lztwm,sac,DNGT2-1,191
lzfpm,sac,DNGT2-1,90
lzfsm,sac,DNGT2-1,13
adimp,sac,DNGT2-1,0.14
uzk,sac,DNGT2-1,0.25
lzpk,sac,DNGT2-1,0.01
lzsk,sac,DNGT2-1,0.08
zperc,sac,DNGT2-1,194
rexp,sac,DNGT2-1,2.67
pctim,sac,DNGT2-1,0.004
pfree,sac,DNGT2-1,0.15
riva,sac,DNGT2-1,0.003
side,sac,DNGT2-1,0
rserv,sac,DNGT2-1,0.01
peadj,sac,DNGT2-1,1.0
pxadj,sac,DNGT2-1,1
peadj_10,sac,DNGT2-1,1.0
peadj_11,sac,DNGT2-1,1.0
peadj_12,sac,DNGT2-1,1.0
peadj_01,sac,DNGT2-1,1.0
peadj_02,sac,DNGT2-1,1.0
peadj_03,sac,DNGT2-1,1.0
peadj_04,sac,DNGT2-1,1.0
peadj_05,sac,DNGT2-1,1.0
peadj_06,sac,DNGT2-1,1.0
peadj_07,sac,DNGT2-1,1.0
peadj_08,sac,DNGT2-1,1.0
peadj_09,sac,DNGT2-1,1.0
efc,sac,DNGT2-1,0.0
zone_area,uh,DNGT2-1,377.8
duration,uh,DNGT2-1,3
interval,uh,DNGT2-1,3
baseflow,uh,DNGT2-1,0.0
unit_ord_1,uh,DNGT2-1,2069.88
unit_ord_2,uh,DNGT2-1,7517.52
unit_ord_3,uh,DNGT2-1,15144.85
unit_ord_4,uh,DNGT2-1,19941.84
unit_ord_5,uh,DNGT2-1,18262.84
unit_ord_6,uh,DNGT2-1,9342.33
unit_ord_7,uh,DNGT2-1,3827.19
unit_ord_8,uh,DNGT2-1,1894.15
unit_ord_9,uh,DNGT2-1,1454.82
unit_ord_10,uh,DNGT2-1,1192.22
unit_ord_11,uh,DNGT2-1,621.19
unit_ord_12,uh,DNGT2-1,0.0
unit_ord_13,uh,DNGT2-1,0.0
unit_ord_14,uh,DNGT2-1,0.0
n_clmods,chanloss,DNGT2,0
etd_01,et,DNGT2-1,0.98
etd_02,et,DNGT2-1,0.98
etd_03,et,DNGT2-1,1.0
etd_04,et,DNGT2-1,1.06
etd_05,et,DNGT2-1,1.13
etd_06,et,DNGT2-1,1.22
etd_07,et,DNGT2-1,1.29
etd_08,et,DNGT2-1,1.35
etd_09,et,DNGT2-1,1.37
etd_10,et,DNGT2-1,1.31
etd_11,et,DNGT2-1,1.22
etd_12,et,DNGT2-1,1.02
init_if,lagk,KEMT2,9.8000552554492091
init_of,lagk,KEMT2,10.839823707176
init_stor,lagk,KEMT2,10.975321503516
init_co_pairs,lagk,KEMT2,4
init_co_q_1,lagk,KEMT2,9.4000557705295
init_co_lag_1,lagk,KEMT2,2.0
init_co_q_2,lagk,KEMT2,8.8000522219048
init_co_lag_2,lagk,KEMT2,5.0
init_co_q_3,lagk,KEMT2,0.0
init_co_lag_3,lagk,KEMT2,0.0
init_co_q_4,lagk,KEMT2,0.0
init_co_lag_4,lagk,KEMT2,0.0
