name,zone,lower,upper
uztwm_DNGT2-1,DNGT2-1,12,82.75
uzfwm_DNGT2-1,DNGT2-1,38,120
lztwm_DNGT2-1,DNGT2-1,75,285
lzfpm_DNGT2-1,DNGT2-1,5.0,100
lzfsm_DNGT2-1,DNGT2-1,5,24
adimp_DNGT2-1,DNGT2-1,0,0.5
uzk_DNGT2-1,DNGT2-1,0.25,0.6
lzpk_DNGT2-1,DNGT2-1,0.0045,0.0355
lzsk_DNGT2-1,DNGT2-1,0.05525,0.50475
zperc_DNGT2-1,DNGT2-1,1,221.25
rexp_DNGT2-1,DNGT2-1,1.5625,3.8125
pctim_DNGT2-1,DNGT2-1,0,0.05
pfree_DNGT2-1,DNGT2-1,0.01,0.4625
riva_DNGT2-1,DNGT2-1,0,0.2
unit_shape_DNGT2-1,DNGT2-1,1.01,3.3
unit_toc_adj_DNGT2-1,DNGT2-1,0.75,1.25
lagtbl_a_KEMT2,KEMT2,-1,0
lagtbl_b_KEMT2,KEMT2,-1,0
lagtbl_c_KEMT2,KEMT2,0.1,1
ktbl_a_KEMT2,KEMT2,-1,1
ktbl_b_KEMT2,KEMT2,-1,1
ktbl_c_KEMT2,KEMT2,0.3,0.7
ktbl_d_KEMT2,KEMT2,0,1
init_co_KEMT2,KEMT2,103.769843290594,415.079373162377
init_if_KEMT2,KEMT2,103.769843290594,415.079373162377
init_of_KEMT2,KEMT2,103.769843290594,415.079373162377
init_stor_KEMT2,KEMT2,103.769843290594,415.079373162377
