year,month,day,hour,flow_cfs,Source
1999,1,1,12,167.082140,fews
1999,1,1,15,167.082140,fews
1999,1,1,18,167.082140,fews
1999,1,1,21,167.082140,fews
1999,1,2,0,167.082140,fews
1999,1,2,3,167.082140,fews
1999,1,2,6,165.482320,fews
1999,1,2,9,164.882390,fews
1999,1,2,12,164.382430,fews
1999,1,2,15,163.982470,fews
1999,1,2,18,164.382430,fews
1999,1,2,21,164.782380,fews
1999,1,3,0,165.182340,fews
1999,1,3,3,165.582290,fews
1999,1,3,6,167.982040,fews
1999,1,3,9,172.181580,fews
1999,1,3,12,174.381360,fews
1999,1,3,15,176.681100,fews
1999,1,3,18,173.281480,fews
1999,1,3,21,169.981830,fews
1999,1,4,0,166.582180,fews
1999,1,4,3,163.282530,fews
1999,1,4,6,158.983000,fews
1999,1,4,9,152.283720,fews
1999,1,4,12,151.783770,fews
1999,1,4,15,151.583790,fews
1999,1,4,18,151.483810,fews
1999,1,4,21,151.383800,fews
1999,1,5,0,151.383800,fews
1999,1,5,3,151.383800,fews
1999,1,5,6,150.383910,fews
1999,1,5,9,149.384030,fews
1999,1,5,12,149.184050,fews
1999,1,5,15,148.984070,fews
1999,1,5,18,148.684110,fews
1999,1,5,21,148.484130,fews
1999,1,6,0,148.284150,fews
1999,1,6,3,148.884100,fews
1999,1,6,6,149.484020,fews
1999,1,6,9,150.483920,fews
1999,1,6,12,150.983860,fews
1999,1,6,15,151.083850,fews
1999,1,6,18,151.183840,fews
1999,1,6,21,151.183840,fews
1999,1,7,0,151.283830,fews
1999,1,7,3,151.283830,fews
1999,1,7,6,151.283830,fews
1999,1,7,9,151.983750,fews
1999,1,7,12,151.983750,fews
1999,1,7,15,151.983750,fews
1999,1,7,18,151.983750,fews
1999,1,7,21,151.983750,fews
1999,1,8,0,151.983750,fews
1999,1,8,3,151.983750,fews
1999,1,8,6,152.183730,fews
1999,1,8,9,152.383700,fews
1999,1,8,12,152.383700,fews
1999,1,8,15,152.383700,fews
1999,1,8,18,152.383700,fews
1999,1,8,21,152.383700,fews
1999,1,9,0,152.383700,fews
1999,1,9,3,152.383700,fews
1999,1,9,6,146.084380,fews
1999,1,9,9,145.284450,fews
1999,1,9,12,145.084490,fews
1999,1,9,15,144.784520,fews
1999,1,9,18,144.284560,fews
1999,1,9,21,143.584660,fews
1999,1,10,0,142.084810,fews
1999,1,10,3,137.485300,fews
1999,1,10,6,136.685400,fews
1999,1,10,9,135.285540,fews
1999,1,10,12,134.785600,fews
1999,1,10,15,134.285640,fews
1999,1,10,18,133.785700,fews
1999,1,10,21,133.185760,fews
1999,1,11,0,132.685820,fews
1999,1,11,3,132.185870,fews
1999,1,11,6,134.785600,fews
1999,1,11,9,135.685500,fews
1999,1,11,12,135.685500,fews
1999,1,11,15,135.685500,fews
1999,1,11,18,135.785490,fews
1999,1,11,21,135.885470,fews
1999,1,12,0,136.085450,fews
1999,1,12,3,136.585400,fews
1999,1,12,6,138.385210,fews
1999,1,12,9,139.185120,fews
1999,1,12,12,139.885040,fews
1999,1,12,15,140.484990,fews
1999,1,12,18,141.184900,fews
1999,1,12,21,141.784850,fews
1999,1,13,0,142.484760,fews
1999,1,13,3,143.084700,fews
1999,1,13,6,140.984920,fews
1999,1,13,9,140.385000,fews
1999,1,13,12,140.285000,fews
1999,1,13,15,140.285000,fews
1999,1,13,18,140.285000,fews
1999,1,13,21,140.185010,fews
1999,1,14,0,140.085020,fews
1999,1,14,3,139.685060,fews
1999,1,14,6,136.585400,fews
1999,1,14,9,135.885470,fews
1999,1,14,12,134.385640,fews
1999,1,14,15,133.885700,fews
1999,1,14,18,133.585720,fews
1999,1,14,21,133.485730,fews
1999,1,15,0,133.385740,fews
1999,1,15,3,133.285750,fews
1999,1,15,6,131.785900,fews
1999,1,15,9,130.486050,fews
1999,1,15,12,130.286070,fews
1999,1,15,15,130.086090,fews
1999,1,15,18,129.886110,fews
1999,1,15,21,129.586150,fews
1999,1,16,0,129.386170,fews
1999,1,16,3,129.186190,fews
1999,1,16,6,130.286070,fews
1999,1,16,9,130.686020,fews
1999,1,16,12,130.886000,fews
1999,1,16,15,131.085980,fews
1999,1,16,18,131.285960,fews
1999,1,16,21,131.485950,fews
1999,1,17,0,131.185970,fews
1999,1,17,3,130.786010,fews
1999,1,17,6,130.486050,fews
1999,1,17,9,130.386060,fews
1999,1,17,12,130.386060,fews
1999,1,17,15,130.386060,fews
1999,1,17,18,130.286070,fews
1999,1,17,21,130.286070,fews
1999,1,18,0,130.086090,fews
1999,1,18,3,129.686130,fews
1999,1,18,6,126.386490,fews
1999,1,18,9,125.086630,fews
1999,1,18,12,124.186730,fews
1999,1,18,15,123.886760,fews
1999,1,18,18,123.686780,fews
1999,1,18,21,123.586790,fews
1999,1,19,0,123.586790,fews
1999,1,19,3,123.486800,fews
1999,1,19,6,122.386910,fews
1999,1,19,9,120.887080,fews
1999,1,19,12,120.887080,fews
1999,1,19,15,120.887080,fews
1999,1,19,18,120.887080,fews
1999,1,19,21,120.887080,fews
1999,1,20,0,120.887080,fews
1999,1,20,3,120.887080,fews
1999,1,20,6,120.987060,fews
1999,1,20,9,120.987060,fews
1999,1,20,12,120.987060,fews
1999,1,20,15,120.987060,fews
1999,1,20,18,120.987060,fews
1999,1,20,21,120.987060,fews
1999,1,21,0,120.987060,fews
1999,1,21,3,120.987060,fews
1999,1,21,6,120.987060,fews
1999,1,21,9,120.987060,fews
1999,1,21,12,120.987060,fews
1999,1,21,15,120.987060,fews
1999,1,21,18,120.987060,fews
1999,1,21,21,120.987060,fews
1999,1,22,0,120.987060,fews
1999,1,22,3,120.987060,fews
1999,1,22,6,121.087050,fews
1999,1,22,9,121.287030,fews
1999,1,22,12,121.287030,fews
1999,1,22,15,121.287030,fews
1999,1,22,18,121.287030,fews
1999,1,22,21,121.287030,fews
1999,1,23,0,121.287030,fews
1999,1,23,3,121.287030,fews
1999,1,23,6,116.887505,fews
1999,1,23,9,115.587650,fews
1999,1,23,12,114.287790,fews
1999,1,23,15,113.787834,fews
1999,1,23,18,113.587850,fews
1999,1,23,21,113.387870,fews
1999,1,24,0,113.287890,fews
1999,1,24,3,113.287890,fews
1999,1,24,6,112.387985,fews
1999,1,24,9,110.688160,fews
1999,1,24,12,109.988240,fews
1999,1,24,15,109.788260,fews
1999,1,24,18,109.688270,fews
1999,1,24,21,109.688270,fews
1999,1,25,0,109.588290,fews
1999,1,25,3,109.588290,fews
1999,1,25,6,109.188324,fews
1999,1,25,9,108.288420,fews
1999,1,25,12,107.988460,fews
1999,1,25,15,107.888466,fews
1999,1,25,18,107.888466,fews
1999,1,25,21,107.788475,fews
1999,1,26,0,107.788475,fews
1999,1,26,3,107.788475,fews
1999,1,26,6,107.488510,fews
1999,1,26,9,107.188545,fews
1999,1,26,12,107.088554,fews
1999,1,26,15,107.088554,fews
1999,1,26,18,107.088554,fews
1999,1,26,21,106.988560,fews
1999,1,27,0,106.788590,fews
1999,1,27,3,106.288640,fews
1999,1,27,6,107.288530,fews
1999,1,27,9,108.288420,fews
1999,1,27,12,108.188440,fews
1999,1,27,15,108.188440,fews
1999,1,27,18,108.188440,fews
1999,1,27,21,108.088450,fews
1999,1,28,0,107.988460,fews
1999,1,28,3,107.588500,fews
1999,1,28,6,75.591920,fews
1999,1,28,9,0.000000,fews
1999,1,28,12,28.296974,fews
1999,1,28,15,56.593950,fews
1999,1,28,18,84.890920,fews
1999,1,28,21,113.187900,fews
1999,1,29,0,141.484860,fews
1999,1,29,3,169.781850,fews
1999,1,29,6,351.662400,fews
1999,1,29,9,830.411200,fews
1999,1,29,12,1137.678300,fews
1999,1,29,15,1444.845600,fews
1999,1,29,18,1752.112700,fews
1999,1,29,21,2059.279800,fews
1999,1,30,0,1619.126800,fews
1999,1,30,3,1179.074000,fews
1999,1,30,6,722.622740,fews
1999,1,30,9,335.064180,fews
1999,1,30,12,307.167140,fews
1999,1,30,15,297.868160,fews
1999,1,30,18,293.168670,fews
1999,1,30,21,290.468930,fews
1999,1,31,0,288.569120,fews
1999,1,31,3,287.269300,fews
1999,1,31,6,261.772000,fews
1999,1,31,9,198.678760,fews
1999,1,31,12,191.879490,fews
1999,1,31,15,189.579730,fews
1999,1,31,18,188.379850,fews
1999,1,31,21,187.679930,fews
1999,2,1,0,187.279980,fews
1999,2,1,3,186.980010,fews
1999,2,1,6,181.080630,fews
1999,2,1,9,166.782170,fews
1999,2,1,12,163.782490,fews
1999,2,1,15,162.782600,fews
1999,2,1,18,162.282640,fews
1999,2,1,21,161.982680,fews
1999,2,2,0,161.782700,fews
1999,2,2,3,161.682710,fews
1999,2,2,6,160.282850,fews
1999,2,2,9,158.783040,fews
1999,2,2,12,153.983540,fews
1999,2,2,15,152.383700,fews
1999,2,2,18,151.583790,fews
1999,2,2,21,151.083850,fews
1999,2,3,0,150.783870,fews
1999,2,3,3,150.583900,fews
1999,2,3,6,148.984070,fews
1999,2,3,9,146.284360,fews
1999,2,3,12,143.484650,fews
1999,2,3,15,142.584760,fews
1999,2,3,18,142.084810,fews
1999,2,3,21,141.884830,fews
1999,2,4,0,141.684840,fews
1999,2,4,3,141.484860,fews
1999,2,4,6,139.685060,fews
1999,2,4,9,137.685270,fews
1999,2,4,12,137.485300,fews
1999,2,4,15,137.285320,fews
1999,2,4,18,136.885360,fews
1999,2,4,21,136.385420,fews
1999,2,5,0,135.185550,fews
1999,2,5,3,131.685910,fews
1999,2,5,6,130.886000,fews
1999,2,5,9,129.886110,fews
1999,2,5,12,129.486160,fews
1999,2,5,15,129.186190,fews
1999,2,5,18,128.886220,fews
1999,2,5,21,128.486270,fews
1999,2,6,0,128.186300,fews
1999,2,6,3,127.786340,fews
1999,2,6,6,128.986200,fews
1999,2,6,9,130.086090,fews
1999,2,6,12,130.086090,fews
1999,2,6,15,130.086090,fews
1999,2,6,18,130.086090,fews
1999,2,6,21,130.086090,fews
1999,2,7,0,130.086090,fews
1999,2,7,3,130.086090,fews
1999,2,7,6,130.086090,fews
1999,2,7,9,130.086090,fews
1999,2,7,12,130.086090,fews
1999,2,7,15,130.086090,fews
1999,2,7,18,130.086090,fews
1999,2,7,21,130.086090,fews
1999,2,8,0,130.086090,fews
1999,2,8,3,130.086090,fews
1999,2,8,6,128.486270,fews
1999,2,8,9,128.286290,fews
1999,2,8,12,128.086300,fews
1999,2,8,15,127.986320,fews
1999,2,8,18,127.786340,fews
1999,2,8,21,127.686350,fews
1999,2,9,0,127.486374,fews
1999,2,9,3,127.786340,fews
1999,2,9,6,128.986200,fews
1999,2,9,9,131.585920,fews
1999,2,9,12,130.786010,fews
1999,2,9,15,129.986100,fews
1999,2,9,18,129.186190,fews
1999,2,9,21,128.386280,fews
1999,2,10,0,127.686350,fews
1999,2,10,3,126.886440,fews
1999,2,10,6,125.786550,fews
1999,2,10,9,123.486800,fews
1999,2,10,12,122.986850,fews
1999,2,10,15,122.786870,fews
1999,2,10,18,122.686880,fews
1999,2,10,21,122.686880,fews
1999,2,11,0,122.686880,fews
1999,2,11,3,122.586890,fews
1999,2,11,6,122.186935,fews
1999,2,11,9,121.587000,fews
1999,2,11,12,121.587000,fews
1999,2,11,15,121.487010,fews
1999,2,11,18,121.387024,fews
1999,2,11,21,121.287030,fews
1999,2,12,0,120.987060,fews
1999,2,12,3,120.187150,fews
1999,2,12,6,116.387560,fews
1999,2,12,9,115.687640,fews
1999,2,12,12,115.587650,fews
1999,2,12,15,115.287680,fews
1999,2,12,18,114.987710,fews
1999,2,12,21,114.387770,fews
1999,2,13,0,113.287890,fews
1999,2,13,3,109.888250,fews
1999,2,13,6,109.188324,fews
1999,2,13,9,106.888570,fews
1999,2,13,12,106.088660,fews
1999,2,13,15,105.788700,fews
1999,2,13,18,105.688705,fews
1999,2,13,21,105.588715,fews
1999,2,14,0,105.488720,fews
1999,2,14,3,105.488720,fews
1999,2,14,6,104.488820,fews
1999,2,14,9,103.388950,fews
1999,2,14,12,103.088974,fews
1999,2,14,15,102.789010,fews
1999,2,14,18,102.489044,fews
1999,2,14,21,102.189070,fews
1999,2,15,0,102.689020,fews
1999,2,15,3,103.188965,fews
1999,2,15,6,103.788900,fews
1999,2,15,9,106.088660,fews
1999,2,15,12,106.088660,fews
1999,2,15,15,106.088660,fews
1999,2,15,18,106.088660,fews
1999,2,15,21,106.088660,fews
1999,2,16,0,106.088660,fews
1999,2,16,3,106.088660,fews
1999,2,16,6,106.088660,fews
1999,2,16,9,106.088660,fews
1999,2,16,12,106.088660,fews
1999,2,16,15,106.088660,fews
1999,2,16,18,106.088660,fews
1999,2,16,21,106.088660,fews
1999,2,17,0,106.088660,fews
1999,2,17,3,106.088660,fews
1999,2,17,6,104.488820,fews
1999,2,17,9,104.288850,fews
1999,2,17,12,104.188860,fews
1999,2,17,15,103.988880,fews
1999,2,17,18,103.888890,fews
1999,2,17,21,103.688910,fews
1999,2,18,0,103.588920,fews
1999,2,18,3,103.888890,fews
1999,2,18,6,104.488820,fews
1999,2,18,9,105.288750,fews
1999,2,18,12,105.688705,fews
1999,2,18,15,106.088660,fews
1999,2,18,18,105.588715,fews
1999,2,18,21,104.988770,fews
1999,2,19,0,104.488820,fews
1999,2,19,3,103.888890,fews
1999,2,19,6,103.288956,fews
1999,2,19,9,102.689020,fews
1999,2,19,12,102.689020,fews
1999,2,19,15,102.589030,fews
1999,2,19,18,102.389050,fews
1999,2,19,21,102.189070,fews
1999,2,20,0,101.689125,fews
1999,2,20,3,100.289276,fews
1999,2,20,6,99.389370,fews
1999,2,20,9,98.989420,fews
1999,2,20,12,98.889430,fews
1999,2,20,15,98.689450,fews
1999,2,20,18,98.489470,fews
1999,2,20,21,98.189510,fews
1999,2,21,0,97.589570,fews
1999,2,21,3,95.689766,fews
1999,2,21,6,95.389800,fews
1999,2,21,9,95.189820,fews
1999,2,21,12,93.390015,fews
1999,2,21,15,92.890070,fews
1999,2,21,18,92.590100,fews
1999,2,21,21,92.390120,fews
1999,2,22,0,92.290130,fews
1999,2,22,3,92.190140,fews
1999,2,22,6,90.790290,fews
1999,2,22,9,88.890495,fews
1999,2,22,12,88.890495,fews
1999,2,22,15,88.890495,fews
1999,2,22,18,88.890495,fews
1999,2,22,21,88.890495,fews
1999,2,23,0,88.890495,fews
1999,2,23,3,88.890495,fews
1999,2,23,6,88.990486,fews
1999,2,23,9,89.090480,fews
1999,2,23,12,89.090480,fews
1999,2,23,15,89.090480,fews
1999,2,23,18,89.090480,fews
1999,2,23,21,89.090480,fews
1999,2,24,0,89.090480,fews
1999,2,24,3,89.090480,fews
1999,2,24,6,88.290565,fews
1999,2,24,9,87.990590,fews
1999,2,24,12,87.690630,fews
1999,2,24,15,87.490650,fews
1999,2,24,18,87.690630,fews
1999,2,24,21,87.990590,fews
1999,2,25,0,88.190575,fews
1999,2,25,3,88.490540,fews
1999,2,25,6,88.890495,fews
1999,2,25,9,89.890390,fews
1999,2,25,12,90.790290,fews
1999,2,25,15,91.090260,fews
1999,2,25,18,91.290240,fews
1999,2,25,21,91.390230,fews
1999,2,26,0,91.390230,fews
1999,2,26,3,91.490220,fews
1999,2,26,6,92.090160,fews
1999,2,26,9,92.690090,fews
1999,2,26,12,92.690090,fews
1999,2,26,15,92.690090,fews
1999,2,26,18,92.790080,fews
1999,2,26,21,92.890070,fews
1999,2,27,0,93.090050,fews
1999,2,27,3,93.689980,fews
1999,2,27,6,94.689870,fews
1999,2,27,9,95.289810,fews
1999,2,27,12,96.689670,fews
1999,2,27,15,97.189610,fews
1999,2,27,18,97.389590,fews
1999,2,27,21,97.589570,fews
1999,2,28,0,97.589570,fews
1999,2,28,3,97.689560,fews
1999,2,28,6,98.289500,fews
1999,2,28,9,98.989420,fews
1999,2,28,12,99.389370,fews
1999,2,28,15,99.889320,fews
1999,2,28,18,100.389270,fews
1999,2,28,21,100.889210,fews
1999,3,1,0,101.389160,fews
1999,3,1,3,100.289276,fews
1999,3,1,6,98.989420,fews
1999,3,1,9,98.589460,fews
1999,3,1,12,98.489470,fews
1999,3,1,15,98.489470,fews
1999,3,1,18,98.389480,fews
1999,3,1,21,98.289500,fews
1999,3,2,0,97.989525,fews
1999,3,2,3,97.189610,fews
1999,3,2,6,94.089935,fews
1999,3,2,9,93.490005,fews
1999,3,2,12,93.290020,fews
1999,3,2,15,93.090050,fews
1999,3,2,18,92.790080,fews
1999,3,2,21,92.290130,fews
1999,3,3,0,91.290240,fews
1999,3,3,3,88.290565,fews
1999,3,3,6,88.390560,fews
1999,3,3,9,86.490750,fews
1999,3,3,12,85.990810,fews
1999,3,3,15,85.890816,fews
1999,3,3,18,85.790825,fews
1999,3,3,21,85.690834,fews
1999,3,4,0,85.690834,fews
1999,3,4,3,85.690834,fews
1999,3,4,6,84.990910,fews
1999,3,4,9,84.190994,fews
1999,3,4,12,83.991020,fews
1999,3,4,15,83.791040,fews
1999,3,4,18,83.591064,fews
1999,3,4,21,83.391080,fews
1999,3,5,0,83.791040,fews
1999,3,5,3,84.091010,fews
1999,3,5,6,84.690940,fews
1999,3,5,9,85.390870,fews
1999,3,5,12,85.790825,fews
1999,3,5,15,86.190780,fews
1999,3,5,18,86.590740,fews
1999,3,5,21,86.990710,fews
1999,3,6,0,86.390760,fews
1999,3,6,3,85.690834,fews
1999,3,6,6,84.890920,fews
1999,3,6,9,84.490970,fews
