year,month,day,hour,flow_cfs,Source
1986,10,1,6,301,USGS_14301000
1986,10,1,12,291,USGS_14301000
1986,10,1,18,280,USGS_14301000
1986,10,2,0,275,USGS_14301000
1986,10,2,6,265,USGS_14301000
1986,10,2,12,260,USGS_14301000
1986,10,2,18,250,USGS_14301000
1986,10,3,0,245,USGS_14301000
1986,10,3,6,235,USGS_14301000
1986,10,3,12,226,USGS_14301000
1986,10,3,18,221,USGS_14301000
1986,10,4,0,217,USGS_14301000
1986,10,4,6,208,USGS_14301000
1986,10,4,12,203,USGS_14301000
1986,10,4,18,199,USGS_14301000
1986,10,5,0,195,USGS_14301000
1986,10,5,6,190,USGS_14301000
1986,10,5,12,186,USGS_14301000
1986,10,5,18,182,USGS_14301000
1986,10,6,0,178,USGS_14301000
1986,10,6,6,174,USGS_14301000
1986,10,6,12,170,USGS_14301000
1986,10,6,18,166,USGS_14301000
1986,10,7,0,166,USGS_14301000
1986,10,7,6,162,USGS_14301000
1986,10,7,12,158,USGS_14301000
1986,10,7,18,154,USGS_14301000
1986,10,8,0,150,USGS_14301000
1986,10,8,6,150,USGS_14301000
1986,10,8,12,146,USGS_14301000
1986,10,8,18,143,USGS_14301000
1986,10,9,0,139,USGS_14301000
1986,10,9,6,139,USGS_14301000
1986,10,9,12,139,USGS_14301000
1986,10,9,18,139,USGS_14301000
1986,10,10,0,135,USGS_14301000
1986,10,10,6,135,USGS_14301000
1986,10,10,12,135,USGS_14301000
1986,10,10,18,132,USGS_14301000
1986,10,11,0,132,USGS_14301000
1986,10,11,6,128,USGS_14301000
1986,10,11,12,125,USGS_14301000
1986,10,11,18,122,USGS_14301000
1986,10,12,0,122,USGS_14301000
1986,10,12,6,118,USGS_14301000
1986,10,12,12,118,USGS_14301000
1986,10,12,18,118,USGS_14301000
1986,10,13,0,118,USGS_14301000
1986,10,13,6,115,USGS_14301000
1986,10,13,12,111,USGS_14301000
1986,10,13,18,111,USGS_14301000
1986,10,14,0,111,USGS_14301000
1986,10,14,6,111,USGS_14301000
1986,10,14,12,111,USGS_14301000
1986,10,14,18,111,USGS_14301000
1986,10,15,0,111,USGS_14301000
1986,10,15,6,111,USGS_14301000
1986,10,15,12,111,USGS_14301000
1986,10,15,18,111,USGS_14301000
1986,10,16,0,111,USGS_14301000
1986,10,16,6,111,USGS_14301000
1986,10,16,12,108,USGS_14301000
1986,10,16,18,108,USGS_14301000
1986,10,17,0,108,USGS_14301000
1986,10,17,6,108,USGS_14301000
1986,10,17,12,108,USGS_14301000
1986,10,17,18,108,USGS_14301000
1986,10,18,0,108,USGS_14301000
1986,10,18,6,108,USGS_14301000
1986,10,18,12,108,USGS_14301000
1986,10,18,18,108,USGS_14301000
1986,10,19,0,108,USGS_14301000
1986,10,19,6,108,USGS_14301000
1986,10,19,12,104,USGS_14301000
1986,10,19,18,104,USGS_14301000
1986,10,20,0,104,USGS_14301000
1986,10,20,6,104,USGS_14301000
1986,10,20,12,104,USGS_14301000
1986,10,20,18,104,USGS_14301000
1986,10,21,0,104,USGS_14301000
1986,10,21,6,104,USGS_14301000
1986,10,21,12,118,USGS_14301000
1986,10,21,18,118,USGS_14301000
1986,10,22,0,115,USGS_14301000
1986,10,22,6,111,USGS_14301000
1986,10,22,12,108,USGS_14301000
1986,10,22,18,104,USGS_14301000
1986,10,23,0,104,USGS_14301000
1986,10,23,6,104,USGS_14301000
1986,10,23,12,101,USGS_14301000
1986,10,23,18,101,USGS_14301000
1986,10,24,0,101,USGS_14301000
1986,10,24,6,98,USGS_14301000
1986,10,24,12,98,USGS_14301000
1986,10,24,18,101,USGS_14301000
1986,10,25,0,111,USGS_14301000
1986,10,25,6,154,USGS_14301000
1986,10,25,12,178,USGS_14301000
1986,10,25,18,195,USGS_14301000
1986,10,26,0,265,USGS_14301000
1986,10,26,6,468,USGS_14301000
1986,10,26,12,694,USGS_14301000
1986,10,26,18,1330,USGS_14301000
1986,10,27,0,1700,USGS_14301000
1986,10,27,6,1720,USGS_14301000
1986,10,27,12,1570,USGS_14301000
1986,10,27,18,1490,USGS_14301000
1986,10,28,0,1460,USGS_14301000
1986,10,28,6,1370,USGS_14301000
1986,10,28,12,1260,USGS_14301000
1986,10,28,18,1160,USGS_14301000
1986,10,29,0,1060,USGS_14301000
1986,10,29,6,957,USGS_14301000
1986,10,29,12,873,USGS_14301000
1986,10,29,18,825,USGS_14301000
1986,10,30,0,825,USGS_14301000
1986,10,30,6,898,USGS_14301000
1986,10,30,12,1330,USGS_14301000
1986,10,30,18,3270,USGS_14301000
1986,10,31,0,4890,USGS_14301000
1986,10,31,6,4940,USGS_14301000
1986,10,31,12,4200,USGS_14301000
1986,10,31,18,3700,USGS_14301000
1986,11,1,0,3360,USGS_14301000
1986,11,1,6,2960,USGS_14301000
1986,11,1,12,2630,USGS_14301000
1986,11,1,18,2290,USGS_14301000
1986,11,2,0,2020,USGS_14301000
1986,11,2,6,1780,USGS_14301000
1986,11,2,12,1580,USGS_14301000
1986,11,2,18,1440,USGS_14301000
1986,11,3,0,1330,USGS_14301000
1986,11,3,6,1250,USGS_14301000
1986,11,3,12,1170,USGS_14301000
1986,11,3,18,1100,USGS_14301000
1986,11,4,0,1030,USGS_14301000
1986,11,4,6,974,USGS_14301000
1986,11,4,12,923,USGS_14301000
1986,11,4,18,882,USGS_14301000
1986,11,5,0,841,USGS_14301000
1986,11,5,6,809,USGS_14301000
1986,11,5,12,778,USGS_14301000
1986,11,5,18,763,USGS_14301000
1986,11,6,0,740,USGS_14301000
1986,11,6,6,732,USGS_14301000
1986,11,6,12,710,USGS_14301000
1986,11,6,18,694,USGS_14301000
1986,11,7,0,732,USGS_14301000
1986,11,7,6,882,USGS_14301000
1986,11,7,12,1130,USGS_14301000
1986,11,7,18,1160,USGS_14301000
1986,11,8,0,1110,USGS_14301000
1986,11,8,6,1070,USGS_14301000
1986,11,8,12,1040,USGS_14301000
1986,11,8,18,1030,USGS_14301000
1986,11,9,0,1030,USGS_14301000
1986,11,9,6,1060,USGS_14301000
1986,11,9,12,1040,USGS_14301000
1986,11,9,18,1010,USGS_14301000
1986,11,10,0,982,USGS_14301000
1986,11,10,6,957,USGS_14301000
1986,11,10,12,923,USGS_14301000
1986,11,10,18,898,USGS_14301000
1986,11,11,0,882,USGS_14301000
1986,11,11,6,849,USGS_14301000
1986,11,11,12,833,USGS_14301000
1986,11,11,18,817,USGS_14301000
1986,11,12,0,801,USGS_14301000
1986,11,12,6,778,USGS_14301000
1986,11,12,12,763,USGS_14301000
1986,11,12,18,748,USGS_14301000
1986,11,13,0,725,USGS_14301000
1986,11,13,6,710,USGS_14301000
1986,11,13,12,694,USGS_14301000
1986,11,13,18,694,USGS_14301000
1986,11,14,0,687,USGS_14301000
1986,11,14,6,679,USGS_14301000
1986,11,14,12,656,USGS_14301000
1986,11,14,18,641,USGS_14301000
1986,11,15,0,626,USGS_14301000
1986,11,15,6,612,USGS_14301000
1986,11,15,12,597,USGS_14301000
1986,11,15,18,590,USGS_14301000
1986,11,16,0,583,USGS_14301000
1986,11,16,6,619,USGS_14301000
1986,11,16,12,626,USGS_14301000
1986,11,16,18,717,USGS_14301000
1986,11,17,0,890,USGS_14301000
1986,11,17,6,1130,USGS_14301000
1986,11,17,12,1250,USGS_14301000
1986,11,17,18,1210,USGS_14301000
1986,11,18,0,1150,USGS_14301000
1986,11,18,6,1110,USGS_14301000
1986,11,18,12,1340,USGS_14301000
1986,11,18,18,1700,USGS_14301000
1986,11,19,0,2100,USGS_14301000
1986,11,19,6,2390,USGS_14301000
1986,11,19,12,2380,USGS_14301000
1986,11,19,18,2320,USGS_14301000
1986,11,20,0,2310,USGS_14301000
1986,11,20,6,3170,USGS_14301000
1986,11,20,12,6760,USGS_14301000
1986,11,20,18,8600,USGS_14301000
1986,11,21,0,8630,USGS_14301000
1986,11,21,6,7830,USGS_14301000
1986,11,21,12,7330,USGS_14301000
1986,11,21,18,7310,USGS_14301000
1986,11,22,0,7690,USGS_14301000
1986,11,22,6,9340,USGS_14301000
1986,11,22,12,8960,USGS_14301000
1986,11,22,18,8620,USGS_14301000
1986,11,23,0,8340,USGS_14301000
1986,11,23,6,8690,USGS_14301000
1986,11,23,12,9520,USGS_14301000
1986,11,23,18,12200,USGS_14301000
1986,11,24,0,15300,USGS_14301000
1986,11,24,6,16400,USGS_14301000
1986,11,24,12,19500,USGS_14301000
1986,11,24,18,18800,USGS_14301000
1986,11,25,0,16100,USGS_14301000
1986,11,25,6,15000,USGS_14301000
1986,11,25,12,13600,USGS_14301000
1986,11,25,18,12300,USGS_14301000
1986,11,26,0,11000,USGS_14301000
1986,11,26,6,10000,USGS_14301000
1986,11,26,12,9000,USGS_14301000
1986,11,26,18,8080,USGS_14301000
1986,11,27,0,8580,USGS_14301000
1986,11,27,6,10000,USGS_14301000
1986,11,27,12,9430,USGS_14301000
1986,11,27,18,8650,USGS_14301000
1986,11,28,0,8270,USGS_14301000
1986,11,28,6,8080,USGS_14301000
1986,11,28,12,7670,USGS_14301000
1986,11,28,18,7210,USGS_14301000
1986,11,29,0,6840,USGS_14301000
1986,11,29,6,6460,USGS_14301000
1986,11,29,12,6090,USGS_14301000
1986,11,29,18,5670,USGS_14301000
1986,11,30,0,5290,USGS_14301000
1986,11,30,6,4910,USGS_14301000
1986,11,30,12,4590,USGS_14301000
1986,11,30,18,4460,USGS_14301000
1986,12,1,0,4170,USGS_14301000
1986,12,1,6,3930,USGS_14301000
1986,12,1,12,3740,USGS_14301000
1986,12,1,18,3560,USGS_14301000
1986,12,2,0,3270,USGS_14301000
1986,12,2,6,3110,USGS_14301000
1986,12,2,12,2990,USGS_14301000
1986,12,2,18,2850,USGS_14301000
1986,12,3,0,2740,USGS_14301000
1986,12,3,6,2610,USGS_14301000
1986,12,3,12,2510,USGS_14301000
1986,12,3,18,2400,USGS_14301000
1986,12,4,0,2310,USGS_14301000
1986,12,4,6,2230,USGS_14301000
1986,12,4,12,2150,USGS_14301000
1986,12,4,18,2090,USGS_14301000
1986,12,5,0,2050,USGS_14301000
1986,12,5,6,2030,USGS_14301000
1986,12,5,12,1980,USGS_14301000
1986,12,5,18,1970,USGS_14301000
1986,12,6,0,1940,USGS_14301000
1986,12,6,6,1880,USGS_14301000
1986,12,6,12,1840,USGS_14301000
1986,12,6,18,1800,USGS_14301000
1986,12,7,0,1770,USGS_14301000
1986,12,7,6,1720,USGS_14301000
1986,12,7,12,1680,USGS_14301000
1986,12,7,18,1630,USGS_14301000
1986,12,8,0,1590,USGS_14301000
1986,12,8,6,1560,USGS_14301000
1986,12,8,12,1530,USGS_14301000
1986,12,8,18,1500,USGS_14301000
1986,12,9,0,1470,USGS_14301000
1986,12,9,6,1460,USGS_14301000
1986,12,9,12,1430,USGS_14301000
1986,12,9,18,1400,USGS_14301000
1986,12,10,0,1380,USGS_14301000
1986,12,10,6,1370,USGS_14301000
1986,12,10,12,1350,USGS_14301000
1986,12,10,18,1320,USGS_14301000
1986,12,11,0,1310,USGS_14301000
1986,12,11,6,1300,USGS_14301000
1986,12,11,12,1280,USGS_14301000
1986,12,11,18,1270,USGS_14301000
1986,12,12,0,1260,USGS_14301000
1986,12,12,6,1250,USGS_14301000
1986,12,12,12,1250,USGS_14301000
1986,12,12,18,1250,USGS_14301000
1986,12,13,0,1250,USGS_14301000
1986,12,13,6,1270,USGS_14301000
1986,12,13,12,1330,USGS_14301000
1986,12,13,18,1380,USGS_14301000
1986,12,14,0,1480,USGS_14301000
1986,12,14,6,1640,USGS_14301000
1986,12,14,12,1960,USGS_14301000
1986,12,14,18,2360,USGS_14301000
1986,12,15,0,2740,USGS_14301000
1986,12,15,6,2920,USGS_14301000
1986,12,15,12,2990,USGS_14301000
1986,12,15,18,3010,USGS_14301000
1986,12,16,0,3040,USGS_14301000
1986,12,16,6,2990,USGS_14301000
1986,12,16,12,2900,USGS_14301000
1986,12,16,18,2810,USGS_14301000
1986,12,17,0,2710,USGS_14301000
1986,12,17,6,2590,USGS_14301000
1986,12,17,12,2490,USGS_14301000
1986,12,17,18,2400,USGS_14301000
1986,12,18,0,2310,USGS_14301000
1986,12,18,6,2240,USGS_14301000
1986,12,18,12,2170,USGS_14301000
1986,12,18,18,2100,USGS_14301000
1986,12,19,0,2050,USGS_14301000
1986,12,19,6,1990,USGS_14301000
1986,12,19,12,1920,USGS_14301000
1986,12,19,18,1860,USGS_14301000
1986,12,20,0,1800,USGS_14301000
1986,12,20,6,1760,USGS_14301000
1986,12,20,12,1720,USGS_14301000
1986,12,20,18,1680,USGS_14301000
1986,12,21,0,1650,USGS_14301000
1986,12,21,6,1630,USGS_14301000
1986,12,21,12,1630,USGS_14301000
1986,12,21,18,1630,USGS_14301000
1986,12,22,0,1620,USGS_14301000
1986,12,22,6,1590,USGS_14301000
1986,12,22,12,1630,USGS_14301000
1986,12,22,18,2120,USGS_14301000
1986,12,23,0,3520,USGS_14301000
1986,12,23,6,4360,USGS_14301000
1986,12,23,12,4300,USGS_14301000
1986,12,23,18,4250,USGS_14301000
1986,12,24,0,4450,USGS_14301000
1986,12,24,6,4700,USGS_14301000
1986,12,24,12,4940,USGS_14301000
1986,12,24,18,4860,USGS_14301000
1986,12,25,0,4680,USGS_14301000
1986,12,25,6,4530,USGS_14301000
1986,12,25,12,4450,USGS_14301000
1986,12,25,18,4410,USGS_14301000
1986,12,26,0,4750,USGS_14301000
1986,12,26,6,4990,USGS_14301000
1986,12,26,12,4860,USGS_14301000
1986,12,26,18,4690,USGS_14301000
1986,12,27,0,4630,USGS_14301000
1986,12,27,6,4590,USGS_14301000
1986,12,27,12,4460,USGS_14301000
1986,12,27,18,4280,USGS_14301000
1986,12,28,0,4120,USGS_14301000
1986,12,28,6,3950,USGS_14301000
1986,12,28,12,3810,USGS_14301000
1986,12,28,18,3800,USGS_14301000
1986,12,29,0,3770,USGS_14301000
1986,12,29,6,4430,USGS_14301000
1986,12,29,12,6320,USGS_14301000
1986,12,29,18,8330,USGS_14301000
1986,12,30,0,9110,USGS_14301000
1986,12,30,6,9220,USGS_14301000
1986,12,30,12,9470,USGS_14301000
1986,12,30,18,9600,USGS_14301000
1986,12,31,0,9390,USGS_14301000
1986,12,31,6,8910,USGS_14301000
1986,12,31,12,8400,USGS_14301000
1986,12,31,18,7780,USGS_14301000
1987,1,1,0,7310,USGS_14301000
1987,1,1,6,7380,USGS_14301000
1987,1,1,12,7920,USGS_14301000
1987,1,1,18,7880,USGS_14301000
1987,1,2,0,7870,USGS_14301000
1987,1,2,6,7920,USGS_14301000
1987,1,2,12,8060,USGS_14301000
1987,1,2,18,7990,USGS_14301000
1987,1,3,0,7870,USGS_14301000
1987,1,3,6,8220,USGS_14301000
1987,1,3,12,9020,USGS_14301000
1987,1,3,18,9470,USGS_14301000
1987,1,4,0,9730,USGS_14301000
1987,1,4,6,9870,USGS_14301000
1987,1,4,12,10200,USGS_14301000
1987,1,4,18,10400,USGS_14301000
1987,1,5,0,10200,USGS_14301000
1987,1,5,6,9850,USGS_14301000
1987,1,5,12,9430,USGS_14301000
1987,1,5,18,8960,USGS_14301000
1987,1,6,0,8450,USGS_14301000
1987,1,6,6,7920,USGS_14301000
1987,1,6,12,7420,USGS_14301000
1987,1,6,18,6960,USGS_14301000
1987,1,7,0,6500,USGS_14301000
1987,1,7,6,6090,USGS_14301000
1987,1,7,12,5700,USGS_14301000
1987,1,7,18,5350,USGS_14301000
1987,1,8,0,5010,USGS_14301000
1987,1,8,6,4700,USGS_14301000
1987,1,8,12,4430,USGS_14301000
1987,1,8,18,4190,USGS_14301000
1987,1,9,0,3970,USGS_14301000
1987,1,9,6,3740,USGS_14301000
1987,1,9,12,3550,USGS_14301000
1987,1,9,18,3370,USGS_14301000
1987,1,10,0,3200,USGS_14301000
1987,1,10,6,3050,USGS_14301000
1987,1,10,12,2920,USGS_14301000
1987,1,10,18,2790,USGS_14301000
1987,1,11,0,2680,USGS_14301000
1987,1,11,6,2580,USGS_14301000
1987,1,11,12,2490,USGS_14301000
1987,1,11,18,2400,USGS_14301000
1987,1,12,0,2390,USGS_14301000
1987,1,12,6,2470,USGS_14301000
1987,1,12,12,2500,USGS_14301000
1987,1,12,18,2520,USGS_14301000
