name,type,zone,value
uztwm,sac,DSBT2-1,-99
uzfwm,sac,DSBT2-1,-99
lztwm,sac,DSBT2-1,-99
lzfpm,sac,DSBT2-1,-99
lzfsm,sac,DSBT2-1,-99
adimp,sac,DSBT2-1,-99
uzk,sac,DSBT2-1,-99
lzpk,sac,DSBT2-1,-99
lzsk,sac,DSBT2-1,-99
zperc,sac,DSBT2-1,-99
rexp,sac,DSBT2-1,-99
pctim,sac,DSBT2-1,-99
pfree,sac,DSBT2-1,-99
riva,sac,DSBT2-1,-99
side,sac,DSBT2-1,0
rserv,sac,DSBT2-1,0.04
peadj,sac,DSBT2-1,1.095
pxadj,sac,DSBT2-1,1
peadj_10,sac,DSBT2-1,1.0
peadj_11,sac,DSBT2-1,1.0
peadj_12,sac,DSBT2-1,1.0
peadj_01,sac,DSBT2-1,1.0
peadj_02,sac,DSBT2-1,1.0
peadj_03,sac,DSBT2-1,1.0
peadj_04,sac,DSBT2-1,1.0
peadj_05,sac,DSBT2-1,1.0
peadj_06,sac,DSBT2-1,1.0
peadj_07,sac,DSBT2-1,1.0
peadj_08,sac,DSBT2-1,1.0
peadj_09,sac,DSBT2-1,1.0
efc,sac,DSBT2-1,0.0
zone_area,uh,DSBT2-1,269.2
unit_shape,uh,DSBT2-1,-99
unit_toc,uh,DSBT2-1,56.01351997
unit_toc_adj,uh,DSBT2-1,-99
etd_01,et,DSBT2-1,0.81
etd_02,et,DSBT2-1,0.81
etd_03,et,DSBT2-1,0.83
etd_04,et,DSBT2-1,0.89
etd_05,et,DSBT2-1,0.98
etd_06,et,DSBT2-1,1.07
etd_07,et,DSBT2-1,1.14
etd_08,et,DSBT2-1,1.23
etd_09,et,DSBT2-1,1.29
etd_10,et,DSBT2-1,1.25
etd_11,et,DSBT2-1,1.18
etd_12,et,DSBT2-1,1.00
