name,type,zone,value
uztwm,sac,GETT2-1,-99
uzfwm,sac,GETT2-1,-99
lztwm,sac,GETT2-1,-99
lzfpm,sac,GETT2-1,-99
lzfsm,sac,GETT2-1,-99
adimp,sac,GETT2-1,-99
uzk,sac,GETT2-1,-99
lzpk,sac,GETT2-1,-99
lzsk,sac,GETT2-1,-99
zperc,sac,GETT2-1,-99
rexp,sac,GETT2-1,-99
pctim,sac,GETT2-1,-99
pfree,sac,GETT2-1,-99
riva,sac,GETT2-1,-99
side,sac,GETT2-1,0
rserv,sac,GETT2-1,0.01
peadj,sac,GETT2-1,1.0
pxadj,sac,GETT2-1,1
efc,sac,GETT2-1,0.0
zone_area,uh,GETT2-1,132.5
duration,uh,GETT2-1,6
interval,uh,GETT2-1,6
baseflow,uh,GETT2-1,0.0
unit_ord_1,uh,GETT2-1,5802.46
unit_ord_2,uh,GETT2-1,6761.37
unit_ord_3,uh,GETT2-1,1657.04
unit_ord_4,uh,GETT2-1,34.80
unit_ord_5,uh,GETT2-1,0.0
unit_ord_6,uh,GETT2-1,0.0
unit_ord_7,uh,GETT2-1,0.0
unit_ord_8,uh,GETT2-1,0.0
etd_01,et,GETT2-1,0.98
etd_02,et,GETT2-1,0.98
etd_03,et,GETT2-1,1.0
etd_04,et,GETT2-1,1.06
etd_05,et,GETT2-1,1.17
etd_06,et,GETT2-1,1.29
etd_07,et,GETT2-1,1.54
etd_08,et,GETT2-1,1.82
etd_09,et,GETT2-1,1.81
etd_10,et,GETT2-1,1.62
etd_11,et,GETT2-1,1.22
etd_12,et,GETT2-1,1.02
uztwm,sac,GETT2-2,-99
uzfwm,sac,GETT2-2,-99
lztwm,sac,GETT2-2,-99
lzfpm,sac,GETT2-2,-99
lzfsm,sac,GETT2-2,-99
adimp,sac,GETT2-2,-99
uzk,sac,GETT2-2,-99
lzpk,sac,GETT2-2,-99
lzsk,sac,GETT2-2,-99
zperc,sac,GETT2-2,-99
rexp,sac,GETT2-2,-99
pctim,sac,GETT2-2,-99
pfree,sac,GETT2-2,-99
riva,sac,GETT2-2,-99
side,sac,GETT2-2,0
rserv,sac,GETT2-2,0.01
peadj,sac,GETT2-2,1.0
pxadj,sac,GETT2-2,1
efc,sac,GETT2-2,0.0
zone_area,uh,GETT2-2,132.5
duration,uh,GETT2-2,6
interval,uh,GETT2-2,6
baseflow,uh,GETT2-2,0.0
unit_ord_1,uh,GETT2-2,5802.46
unit_ord_2,uh,GETT2-2,6761.37
unit_ord_3,uh,GETT2-2,1657.04
unit_ord_4,uh,GETT2-2,34.80
unit_ord_5,uh,GETT2-2,0.0
unit_ord_6,uh,GETT2-2,0.0
unit_ord_7,uh,GETT2-2,0.0
unit_ord_8,uh,GETT2-2,0.0
etd_01,et,GETT2-2,0.98
etd_02,et,GETT2-2,0.98
etd_03,et,GETT2-2,1.0
etd_04,et,GETT2-2,1.06
etd_05,et,GETT2-2,1.17
etd_06,et,GETT2-2,1.29
etd_07,et,GETT2-2,1.54
etd_08,et,GETT2-2,1.82
etd_09,et,GETT2-2,1.81
etd_10,et,GETT2-2,1.62
etd_11,et,GETT2-2,1.22
etd_12,et,GETT2-2,1.02
